Date,Asset_id,Field,Oil_production
2020-09-06,OML119,Okono,9998.55
2019-03-11,OML26,Ogini,9998
2020-08-27,OML119,Okono,9997.48
2019-10-10,OML42,Batan,9997
2020-09-19,OML119,Okono,9995.17
2020-08-01,OML26,Ogini,9992
2021-05-02,OML40,Opuama,9990
2018-01-06,OML34,UghelliEast,999.23
2021-03-21,OML40,Opuama,9989
2018-03-25,OML4/38/41,Amukpe,9989
2021-12-07,OML40,Opuama,9988
2021-03-05,OML4/38/41,Sapele,9987.5
2021-02-03,OML42,Odidi,9984
2020-09-13,OML119,Okono,9983.96
2018-03-24,OML4/38/41,Amukpe,9982.24
2018-08-31,OML4/38/41,Amukpe,9981.63
2018-11-13,OML119,Okono,998
2021-05-27,OML40,Opuama,9979
2021-07-23,OML45,Oredo,9978.37
2018-02-16,OML4/38/41,Amukpe,9978.3
2021-11-15,OML42,JonesCreek,9978
2020-09-22,OML119,Okono,9976.5
2020-09-16,OML34,UghelliEast,9976
2021-04-23,OML119,Okono,9975.19
2020-11-03,OML119,Okono,9974.95
2021-08-03,OML20,Egbema,9971.46
2021-06-21,OML16,Abura,9970.37
2021-07-12,OML16,Abura,9970.37
2021-06-22,OML16,Abura,9970.37
2021-07-13,OML16,Abura,9970.37
2021-07-02,OML16,Abura,9970.37
2021-07-14,OML16,Abura,9970.37
2021-07-16,OML16,Abura,9970.37
2021-06-24,OML16,Abura,9970.37
2021-07-17,OML16,Abura,9970.37
2021-07-18,OML16,Abura,9970.37
2021-07-19,OML16,Abura,9970.37
2021-06-23,OML16,Abura,9970.37
2021-06-27,OML16,Abura,9970.37
2021-06-25,OML16,Abura,9970.37
2021-06-26,OML16,Abura,9970.37
2021-07-03,OML16,Abura,9970.37
2021-06-28,OML16,Abura,9970.37
2021-07-11,OML16,Abura,9970.37
2021-07-10,OML16,Abura,9970.37
2021-06-29,OML16,Abura,9970.37
2021-07-09,OML16,Abura,9970.37
2021-07-07,OML16,Abura,9970.37
2021-07-06,OML16,Abura,9970.37
2021-06-30,OML16,Abura,9970.37
2021-07-05,OML16,Abura,9970.37
2021-07-01,OML16,Abura,9970.37
2021-07-04,OML16,Abura,9970.37
2021-07-08,OML16,Abura,9970.37
2021-07-15,OML16,Abura,9970.37
2019-05-05,OML34,UghelliEast,997.85
2021-05-07,OML45,Oredo,9969.16
2020-08-28,OML119,Okono,9969.03
2018-10-04,OML42,Batan,9969
2020-07-23,OML119,Okono,9968.82
2020-12-31,OML42,JonesCreek,9967
2020-08-04,OML119,Okono,9966.94
2019-09-20,OML40,Opuama,9966.86
2019-12-24,OML40,Opuama,9962.86
2020-08-06,OML119,Okono,9961.8
2018-04-19,OML4/38/41,Amukpe,9960.51
2020-09-15,OML119,Okono,9960.01
2020-08-17,OML45,Oredo,996.53
2021-07-16,OML38/49/51,Aroh,996
2021-07-16,OML38/49/51,Oghareki,996
2020-07-29,OML119,Okono,9956
2020-03-13,OML42,Batan,9955
2018-05-05,OML4/38/41,Amukpe,9954.95
2021-10-04,OML45,Oredo,9954.91
2020-06-24,OML119,Okono,9952.88
2021-11-11,OML40,Gbetiokun,9951.35
2019-10-10,OML111/148,Oziengbe,995
2020-08-09,OML119,Okono,9943.3
2021-07-31,OML45,Oredo,9940.69
2021-06-10,OML28/30,UzereEast,994.93
2020-09-30,OML119,Okono,9939.79
2019-11-21,OML26,Ogini,9937
2020-12-28,OML4/38/41,Sapele,9932.67
2020-09-16,OML119,Okono,9932.16
2018-11-11,OML26,Ogini,9929
2019-01-10,OML26,Ogini,9925
2020-09-03,OML119,Okono,9924.33
2021-04-25,OML20,Egbema,9924.04
2018-08-14,OML4/38/41,Amukpe,9922.7
2019-11-09,OML42,Odidi,9920
2020-10-06,OML4/38/41,Amukpe,992.11
2020-02-20,OML42,Egwa,992
2019-06-07,OML16,AburaSouth,9918.86
2018-04-21,OML4/38/41,Amukpe,9918.47
2021-07-24,OML45,Oredo,9915.4
2021-04-14,OML40,Opuama,9915
2019-01-26,OML26,Ogini,9914
2020-06-27,OML26,Ogini,9914
2021-08-13,OML20,Egbema,9913.84
2021-07-27,OML20,Egbema,9912.65
2021-05-22,OML40,Opuama,9912
2020-07-31,OML119,Okono,9911.54
2019-01-13,OML119,Okono,9911.03
2020-10-01,OML111/148,Oziengbe,991
2021-11-11,OML40,Opuama,9909
2020-09-14,OML119,Okono,9909
2018-03-26,OML4/38/41,Amukpe,9908.21
2020-08-02,OML119,Okono,9906.95
2019-12-14,OML42,Batan,9906
2021-04-02,OML40,Gbetiokun,9905.52
2019-11-27,OML26,Ogini,9904
2018-03-17,OML4/38/41,Amukpe,9903.04
2018-12-13,OML42,Batan,9903
